Ticker,dividendYield,payoutRatio,operatingMargins,CF,P/E,ROE,EPS
0131.KL,,0.0,0.13313,7452715.0,18.06,18.301,0.007
7528.KL,0.014199999,0.18059999,0.16653,978031.0,12.70,3.652,0.131
5908.KL,0.033099998,0.4084,0.02528,97548000.0,7.14,12.788,0.661
7114.KL,,0.0,-0.00496,-10059083.0,-,-3.822,-0.001
5265.KL,,0.0,-0.4577,-8472515.0,-,-29.931,-0.006
7169.KL,0.039,0.45520002,0.02905,17448528.0,11.75,3.078,0.066
0205.KL,0.012200001,1.0,0.054330003,-6874291.0,51.12,3.489,0.004
7198.KL,,0.0,0.10775,-9417543.0,19.84,2.760,0.022
1619.KL,0.0139999995,0.2083,0.04276,-651457000.0,15.21,2.454,0.097
0269.KL,0.018099999,0.0,0.16906,25144890.0,25.26,-,0.022
7233.KL,0.0324,1.0252,0.48789,21633308.0,28.23,9.989,0.126
7148.KL,0.019199999,0.3199,0.13239999,-756000.0,15.82,10.470,0.074
3948.KL,,0.0,0.026500002,-19347000.0,25.94,0.860,0.012
3026.KL,0.0222,0.86660004,0.02974,29030000.0,-,14.120,0.016
03046.KL,0.026700001,0.9756,0.30707002,3776576.0,34.26,14.288,0.026
5259.KL,,0.0,0.21451999,12856000.0,2.96,142.580,0.038
0154.KL,,0.0,0.02648,-11507685.0,-,-22.936,-0.003
3417.KL,,0.0,0.01179,-130810000.0,15.47,4.379,0.018
0267.KL,,0.0,0.31081,444523.0,34.78,-,0.014
2143.KL,,0.0,-0.111770004,2249000.0,3.68,16.721,-0.005
8206.KL,0.0556,0.78370005,0.15183,932853000.0,17.45,3.502,0.053
5283.KL,0.90410006,0.0,-0.17193002,107168000.0,-,-7.454,-0.098
0059.KL,,0.0,-0.20291,-2716890.0,-,-31.740,-0.079
3557.KL,,0.0,1.03194,-2153000.0,29.96,2.699,0.011
0239.KL,0.014199999,0.2941,0.1616,2281095.0,48.73,13.609,0.018
0227.KL,,0.0,0.22207001,3980512.0,25.19,17.005,0.035
5253.KL,,0.0,-0.02473,-31903000.0,-,-3.979,-0.011
0255.KL,,0.0,-0.09016,-26200247.0,-,-16.367,-0.032
5036.KL,0.034,0.8663,0.06431,-7941519.0,14.87,6.819,0.035
7471.KL,,0.0,0.02642,1779000.0,3.00,10.619,0.057
0107.KL,,0.0,-1.9071499,-551566.0,18.40,3.594,-0.001
0064.KL,,0.0,-0.09116,-8048783.0,145.67,0.746,-0.002
8907.KL,,0.0,0.04443,-78091000.0,15.91,9.401,0.090
5208.KL,0.036199998,0.8865,0.031070001,23525000.0,25.18,3.533,0.068
8877.KL,,0.0,0.20718001,-101738000.0,-,-4.703,-0.041
9016.KL,,0.0,-0.37369,27890067.0,13.97,1.643,-0.111
5228.KL,0.052199997,0.76559997,0.40015,-73831511.0,15.06,8.404,0.105
0090.KL,0.0381,0.335,0.15053001,11782055.0,8.71,32.277,0.063
9091.KL,,0.0,0.15032,6055564.0,17.20,4.451,0.003
6076.KL,,0.0,0.34441003,113432000.0,-,-4.521,-0.064
03025.KL,,0.0,0.07068,-1266723.0,9.08,26.331,0.013
7149.KL,,0.0,-0.047399998,-4351900.0,-,-3.836,-0.032
5056.KL,,0.0,0.02159,-61399000.0,57.64,0.564,0.075
8613.KL,,0.0,-1.07799,-16113000.0,-,-24.193,-0.189
7217.KL,0.025,,-0.059169997,30008869.0,-,1.144,0.071
7773.KL,,0.0,0.040960003,-44237000.0,9.78,6.629,0.002
03021.KL,,0.0,-1.6274,-2331763.0,-,-88.517,-0.012
0100.KL,,0.0,0.08776,30017848.0,5.14,16.150,0.045
5081.KL,0.0328,,-0.00386,10393000.0,-,-2.186,-0.024
6815.KL,0.016900001,0.102,0.16649,-128743000.0,4.99,5.181,0.204
7208.KL,,0.0,-0.10977,-7228000.0,-,-18.891,-0.027
7094.KL,,0.0,-0.19171,-7864218.0,-,-16.967,-0.138
0174.KL,,0.0,0.08432,-12503103.0,-,7.558,0.004
5101.KL,,,-0.04666,52416514.0,-,-7.338,-0.031
0190.KL,,0.0,0.014520001,-5363070.0,-,-1.138,-0.019
5205.KL,,0.0,-0.01672,74301000.0,-,-58.002,-0.463
7249.KL,,1.0417,0.083680004,11216936.0,295.60,0.572,-0.002
0065.KL,0.025999999,0.65790004,0.37002,17664967.0,32.16,6.843,0.022
2984.KL,0.02,0.3547,0.02479,2988858.0,15.67,3.275,0.084
7047.KL,0.0339,0.6135,-0.1091,-14467000.0,-,-3.816,-0.019
5029.KL,0.048600003,0.95739996,0.15781,138310642.0,19.43,8.372,0.366
6041.KL,,0.0,-1.27617,1239660.0,-,-16.533,-0.071
5306.KL,0.0083,0.48419997,0.0834,-163387545.0,56.08,6.596,0.027
0084.KL,,0.0,-0.02232,-6182672.0,-,-5.249,-0.034
7229.KL,0.0219,0.4143,0.13268,13889000.0,9.56,6.963,0.165
2755.KL,,0.0,-0.027579999,-1696000.0,10.03,11.738,0.096
8605.KL,0.0113,0.0,0.16399999,-10544715.0,7.48,10.372,0.074
5222.KL,0.1079,0.9388,0.039419997,1462209000.0,8.67,9.979,0.364
6939.KL,,0.0,0.12206,14980000.0,7.31,10.472,0.074
0149.KL,0.0278,0.1358,0.21441,1347000.0,8.58,8.683,0.050
03026.KL,,,,-1458622.0,-,14.120,0.016
3107.KL,0.070199996,1.1013,0.11971,21350000.0,15.76,4.575,0.152
0150.KL,,0.0,-0.48451,-99913213.0,-,-14.622,-0.005
9318.KL,,0.0,-0.18604,122959000.0,-,-17.292,-0.092
0231.KL,,0.0,-0.03337,-12888146.0,-,-8.738,-0.014
7210.KL,0.1026,0.4768,0.07114,22189000.0,7.91,11.268,0.075
0116.KL,,0.0,-0.05126,34051098.0,-,-12.292,-0.002
5197.KL,0.1254,0.8804,0.06689,52031659.0,13.36,4.468,0.133
0157.KL,0.0385,0.36189997,0.19497,60135000.0,10.70,33.638,0.078
9172.KL,0.0758,0.60830003,0.11582,137184648.0,7.71,19.974,0.414
5277.KL,0.037,0.7143,0.12158,12417546.0,24.82,8.681,0.017
3689.KL,0.021300001,0.4425,0.12667,-93147000.0,18.60,16.288,1.043
0128.KL,0.013300001,0.5505,0.32016,90203104.0,42.54,21.888,0.078
9377.KL,,0.0,0.31410998,-5709000.0,15.90,31.619,0.015
7676.KL,,0.0,-0.24468,-30797054.0,-,-15.908,-0.058
7184.KL,,0.0,-0.17337,-8708116.0,-,-8.309,-0.003
5226.KL,,0.0,0.06331,-30925090.0,15.25,3.218,0.031
9261.KL,0.020599999,,-0.04143,10428000.0,-,-3.625,-0.040
0206.KL,,0.0,-0.044699997,9356000.0,-,-1.444,-0.004
5398.KL,0.0271,0.39580002,0.09212,255054000.0,6.21,7.216,0.316
5209.KL,0.047199998,0.77019995,0.062080003,473928000.0,10.07,31.763,0.303
0198.KL,,0.0,0.01894,-35288464.0,24.73,5.023,0.018
0078.KL,0.0083,,-0.06046,3979907.0,-,-6.605,-0.003
0104.KL,,0.0,0.27736,17678733.0,25.71,22.382,0.092
3182.KL,0.036,2.8319001,0.18715,4877800000.0,74.39,0.670,-0.078
4715.KL,0.0598,,0.12991,1679000000.0,-,-2.782,-0.092
2291.KL,0.0296,0.7068,0.11963,586937000.0,19.39,4.521,0.525
3204.KL,0.0396,,0.072,23392000.0,-,-0.900,0.001
7197.KL,,0.0,0.0531,25761000.0,19.26,6.320,0.091
0039.KL,0.02,0.1184,0.35604,25334014.0,6.23,13.425,0.032
0021.KL,0.0311,0.95059997,0.10323,-60613695.0,30.50,5.711,0.025
1147.KL,,0.0,0.061,14595000.0,-,-0.836,0.025
5220.KL,0.030299999,0.3839,0.06267,10716000.0,16.01,3.694,0.038
7022.KL,0.019199999,0.5703,0.25541002,47504000.0,28.72,11.728,0.068
5020.KL,0.033299997,0.3788,0.18955,100722434.0,9.02,2.697,0.041
7382.KL,,0.0,-0.18255,-12219741.0,-,-3.494,-0.062
5649.KL,0.089499995,0.314,0.20741,10777000.0,4.00,16.218,0.083
2135.KL,0.0286,,-0.75664,-1483337.0,-,-1.156,-0.009
03029.KL,,0.0,-0.14661,-489084.0,-,-465.663,-0.069
5592.KL,,0.0,-0.2707,1513429.0,-,-2.170,-0.017
0208.KL,,0.0,0.19708,8320112.0,38.35,25.112,0.105
0074.KL,,0.0,-1.32422,-12414073.0,-,-9.857,-0.010
0082.KL,,0.0,-0.068909995,-108744000.0,-,-39.029,-0.121
0136.KL,,0.0,-0.10935,142632.0,4.07,22.776,0.086
9962.KL,0.05,0.1587,0.24164,13000439.0,9.83,3.066,0.024
5102.KL,,0.2307,0.03968,2886248.0,23.69,6.404,0.135
