stock_code,rDY,rPR,rOM,rCF,rPE,rROE,rEPS,rClass,rDate
7722,3.77,51.68,7.669,4132690,14.46,3.849,5.2,C,2023-10-10
7129,1.82,9.95,15.819,55647314,9.72,5.286,16.1,D,2023-10-10
0159,0.0,0.0,29.343,-1001284,20.91,15.038,1.0,D,2023-10-10
0105,0.0,0.0,-8.159,-27957265,0.0,-5.698,-1.1,D,2023-10-10
4057,0.0,0.0,11.162,-3465000,17.69,0.797,0.4,D,2023-10-10
7162,1.72,15.72,6.24,-86339000,8.65,6.169,9.8,D,2023-10-10
7054,0.0,0.0,-43.106,1442024,0.0,-3.074,-0.6,D,2023-10-10
03032,0.0,0.0,29.201,4149285,0.0,10.801,1.8,D,2023-10-10
6399,8.7,100.0,9.624,752651000,15.14,15.292,4.9,D,2023-10-10
0072,0.0,0.0,-136.588,1830172,0.0,-27.321,-1.4,D,2023-10-10
8176,0.0,0.0,-42.239,146769000,0.0,-43.352,-21.2,D,2023-10-10
7048,1.43,45.51,9.619,18038000,31.84,5.496,8.6,D,2023-10-10
5130,5.07,92.15,80.606,29621319,16.35,6.845,9.6,D,2023-10-10
7099,0.0,0.0,9.339,-9054626,5.98,4.606,4.5,D,2023-10-10
5302,1.74,36.17,10.578,1392521,22.89,15.398,10.4,D,2023-10-10
03037,0.0,0.0,5.752,16893602,0.0,12.51,1.1,D,2023-10-10
8885,0.0,0.0,-0.495,3822000,0.0,-2.764,-0.4,D,2023-10-10
5204,0.0,0.0,-10.458,-15560000,0.0,-3.461,-0.8,D,2023-10-10
7579,3.6,36.83,2.829,49391136,69.63,0.952,0.7,C,2023-10-10
6888,5.95,0.0,8.51,-1242499000,2.44,-28.977,106.3,D,2023-10-10
5106,4.46,93.33,70.637,228130000,17.98,6.386,11.6,D,2023-10-10
7120,0.0,0.0,-16.976,-21209233,0.0,-4.742,-2.1,D,2023-10-10
2305,2.71,36.03,41.175,35169000,13.13,7.453,47.2,C,2023-10-10
5021,2.53,14.39,4.135,4307000,6.43,6.279,9.6,C,2023-10-10
7005,0.0,0.0,3.863,-509511,16.61,6.722,4.2,D,2023-10-10
03012,0.75,20.5,15.489,-1449012,27.41,6.639,2.4,D,2023-10-10
0098,0.0,0.0,-4.087,10484126,0.0,-9.604,0.7,D,2023-10-10
5258,3.18,57.89,33.368,1849055000,9.02,7.478,22.9,C,2023-10-10
7251,0.0,0.0,2.511,-30055000,13.58,294.519,0.4,D,2023-10-10
1899,5.45,65.48,9.08,1547297000,12.14,8.685,298.1,C,2023-10-10
6602,0.0,0.0,21.484,69995237,4.99,4.867,6.1,D,2023-10-10
0187,0.0,0.0,-9.997,-51528204,0.0,-6.977,-1.4,D,2023-10-10
5190,0.0,0.0,-53.28,24561746,0.0,-11.103,-4.9,D,2023-10-10
3239,0.0,0.0,20.743,20366000,0.0,-1.277,-0.9,D,2023-10-10
3395,0.0,0.0,6.306,258289000,0.0,-1.91,-2.1,D,2023-10-10
5196,4.67,185.4,16.54,252920000,11.65,21.087,5.9,D,2023-10-10
4219,0.0,0.0,6.377,78595000,9.09,3.93,3.0,D,2023-10-10
5248,8.03,47.53,10.131,102664000,7.87,52.127,26.3,A,2023-10-10
9814,0.0,0.0,5.693,-1787759,1.23,15.345,6.2,D,2023-10-10
7668,3.92,204.6,10.014,7684589,18.8,5.197,5.4,D,2023-10-10
0263,3.3,13.85,12.893,23557113,12.59,0.0,3.6,C,2023-10-10
6173,1.48,0.0,3.807,16429000,0.0,-0.1,1.8,D,2023-10-10
5932,0.0,0.0,-77.088,16521000,0.0,-87.474,-5.8,D,2023-10-10
0195,0.0,0.0,8.903,-3636418,36.57,3.501,1.2,D,2023-10-10
6998,0.0,0.0,-115.018,-1038000,0.0,-35.516,-6.1,D,2023-10-10
5032,2.38,58.22,27.339,386135000,21.21,6.337,27.8,C,2023-10-10
0179,0.0,0.0,-159.511,-19664053,0.0,-32.808,-3.8,D,2023-10-10
5069,0.27,25.83,1.452,178456551,56.82,2.486,32.4,D,2023-10-10
0168,1.9,47.81,6.599,11451623,25.87,7.763,2.7,D,2023-10-10
9288,4.47,28.39,20.153,93728000,6.47,12.549,27.4,C,2023-10-10
7036,0.0,0.0,56.104,19558927,0.0,-1.48,-0.1,D,2023-10-10
8133,0.0,0.0,-2.288,-34682000,0.0,-37.534,-8.0,D,2023-10-10
5254,2.74,209.51,5.98,248016000,38.52,2.963,26.6,D,2023-10-10
