stock_name,stock_code
KUALA LUMPUR KEPONG BERHAD,2445
KUB MALAYSIA BERHAD,6874
KUCHAI DEVELOPMENT BERHAD,2186
KUMPULAN FIMA BERHAD,6491
KUMPULAN H & L HIGH-TECH BERHAD,7033
KUMPULAN JETSON BERHAD,9083
KUMPULAN KITACON BERHAD,5310
KUMPULAN PERANGSANG SELANGOR BERHAD,5843
KYM HOLDINGS BERHAD,8362
L&P GLOBAL BERHAD,0268
LAGENDA PROPERTIES BERHAD,7179
LAMBO GROUP BERHAD,0018
LAND & GENERAL BERHAD,3174
LANDMARKS BERHAD,1643
LAY HONG BERHAD,9385
LB ALUMINIUM BERHAD,9326
LBI CAPITAL BERHAD,8494
LBS BINA GROUP BERHAD,5789
LEADER STEEL HOLDINGS BERHAD,9881
LEBTECH BERHAD,9628
LEE SWEE KIAT GROUP BERHAD,8079
LEFORM BERHAD,0266
LEON FUAT BERHAD,5232
LEONG HUP INTERNATIONAL BERHAD,6633
LFE CORPORATION BERHAD,7170
LGMS BERHAD,0249
LIEN HOE CORPORATION BERHAD,3573
LII HEN INDUSTRIES BHD.,7089
LIM SEONG HAI CAPITAL BERHAD,03047
LINGKARAN TRANS KOTA HOLDINGS BERHAD,6645
LION INDUSTRIES CORPORATION BERHAD,4235
LION POSIM BERHAD,8486
LKL INTERNATIONAL BERHAD,0182
LOTTE CHEMICAL TITAN HOLDING BERHAD,5284
LOTUS KFM BERHAD,8303
LPI CAPITAL BHD,8621
LTKM BERHAD,7085
LUSTER INDUSTRIES BHD.,5068
LUXCHEM CORPORATION BERHAD,5143
LYC HEALTHCARE BERHAD,0075
LYSAGHT GALVANIZED STEEL BERHAD,9199
M N C WIRELESS BERHAD,0103
MAA GROUP BERHAD,1198
MAG HOLDINGS BERHAD,0095
MAGNA PRIMA BERHAD,7617
MAGNI-TECH INDUSTRIES BERHAD,7087
MAGNUM BERHAD,3859
MAH SING GROUP BERHAD,8583
MAJUPERAK HOLDINGS BERHAD,8141
MALAKOFF CORPORATION BERHAD,5264
MALAYAN BANKING BERHAD,1155
MALAYAN CEMENT BERHAD,3794
MALAYAN FLOUR MILLS BERHAD,3662
MALAYAN UNITED INDUSTRIES BERHAD,3891
MALAYSIA AIRPORTS HOLDINGS BERHAD,5014
MALAYSIA BUILDING SOCIETY BERHAD,1171
MALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BERHAD,5186
MALAYSIA SMELTING CORPORATION BERHAD,5916
MALAYSIA STEEL WORKS (KL) BHD,5098
MALAYSIAN BULK CARRIERS BERHAD,5077
MALAYSIAN GENOMICS RESOURCE CENTRE BERHAD,0155
MALAYSIAN PACIFIC INDUSTRIES BERHAD,3867
MALAYSIAN RESOURCES CORPORATION BERHAD,1651
MALPAC HOLDINGS BERHAD,4936
MALTON BERHAD,6181
MANAGEPAY SYSTEMS BERHAD,0156
MANFORCE GROUP BERHAD,03015
MANULIFE HOLDINGS BERHAD,1058
MARCO HOLDINGS BERHAD,3514
MARINE & GENERAL BERHAD,5078
MASTER-PACK GROUP BERHAD,7029
MATANG BERHAD,0189
MATRIX CONCEPTS HOLDINGS BERHAD,5236
MATRIX PARKING SOLUTION HOLDINGS BERHAD,03019
MAXIM GLOBAL BERHAD,4022
MAXIS BERHAD,6012
MBM RESOURCES BHD,5983
MCE HOLDINGS BERHAD,7004
MCLEAN TECHNOLOGIES BERHAD,0167
MCOM HOLDINGS BERHAD,03022
MCT BERHAD,5182
MEDIA CHINESE INTERNATIONAL LIMITED,5090
MEDIA PRIMA BERHAD,4502
MEGA FIRST CORPORATION BERHAD,3069
MELATI EHSAN HOLDINGS BERHAD,5129
MELEWAR INDUSTRIAL GROUP BERHAD,3778
MENANG CORPORATION (M) BERHAD,1694
MENTIGA CORPORATION BERHAD,5223
MERCURY INDUSTRIES BERHAD,8192
MERIDIAN BERHAD,5040
MESB BERHAD,7234
MESINIAGA BERHAD,5011
MESTRON HOLDINGS BERHAD,0207
META BRIGHT GROUP BERHAD,2097
METRO HEALTHCARE BERHAD,03005
METROD HOLDINGS BERHAD,6149
METRONIC GLOBAL BERHAD,0043
MGB BERHAD,7595
MHC PLANTATIONS BHD,5026
MI TECHNOVATION BERHAD,5286
MICROLINK SOLUTIONS BERHAD,0126
MIECO CHIPBOARD BERHAD,5001
MIKRO MSC BERHAD,0112
MILUX CORPORATION BERHAD,7935
MINDA GLOBAL BERHAD,5166
MINETECH RESOURCES BERHAD,7219
MINHO (M) BERHAD,5576
MISC BERHAD,3816
MITRAJAYA HOLDINGS BERHAD,9571
MK LAND HOLDINGS BERHAD,8893
MKH BERHAD,6114
MLABS SYSTEMS BERHAD,0085
MMAG HOLDINGS BERHAD,0034
MMIS BERHAD,03027
MMS VENTURES BERHAD,0113
MN HOLDINGS BERHAD,0245
MNRB HOLDINGS BERHAD,6459
MOBILIA HOLDINGS BERHAD,0229
MPHB CAPITAL BERHAD,5237
MQ TECHNOLOGY BERHAD,0070
MR D.I.Y. GROUP (M) BERHAD,5296
MSM MALAYSIA HOLDINGS BERHAD,5202
MTAG GROUP BERHAD,0213
MTOUCHE TECHNOLOGY BERHAD,0092
MUAR BAN LEE GROUP BERHAD,5152
MUDA HOLDINGS BERHAD,3883
MUDAJAYA GROUP BERHAD,5085
MUHIBBAH ENGINEERING (M) BHD,5703
MUI PROPERTIES BERHAD,3913
MULPHA INTERNATIONAL BERHAD,3905
MULTI-USAGE HOLDINGS BERHAD,9539
MY E.G. SERVICES BERHAD,0138
MYCRON STEEL BERHAD,5087
MYETF DOW JONES ISLAMIC MARKET MALAYSIA TITANS 25,0821EA
MYETF DOW JONES U.S. TITANS 50,0827EA
MYETF MSCI MALAYSIA ISLAMIC DIVIDEND,0824EA
MYETF MSCI SEA ISLAMIC DIVIDEND,0825EA
MYNEWS HOLDINGS BERHAD,5275
MYTECH GROUP BERHAD,7692
N2N CONNECT BERHAD,0108
NAIM HOLDINGS BERHAD,5073
NATIONGATE HOLDINGS BERHAD,0270
NCT ALLIANCE BERHAD,0056
NEGRI SEMBILAN OIL PALMS BERHAD,2038
NESTCON BERHAD,0235
NESTLE (MALAYSIA) BERHAD,4707
NETX HOLDINGS BERHAD,0020
NEW HOONG FATT HOLDINGS BERHAD,7060
NEXGRAM HOLDINGS BERHAD,0096
NEXTGREEN GLOBAL BERHAD,7241
NI HSIN GROUP BERHAD,7215
NICHE CAPITAL EMAS HOLDINGS BERHAD,7139
NOTION VTEC BERHAD,0083
NOVA MSC BERHAD,0026
NOVA PHARMA SOLUTIONS BERHAD,03006
NOVA WELLNESS GROUP BERHAD,0201
NOVELPLUS TECHNOLOGY BERHAD,03045
NPC RESOURCES BERHAD,5047
NTPM HOLDINGS BERHAD,5066
NWP HOLDINGS BERHAD,5025
NYLEX (MALAYSIA) BERHAD,4944
OCB BERHAD,5533
OCEAN VANTAGE HOLDINGS BERHAD,0220
OCEANCASH PACIFIC BERHAD,0049
OCK GROUP BERHAD,0172
OCR GROUP BERHAD,7071
OKA CORPORATION BHD,7140
OLYMPIA INDUSTRIES BERHAD,3018
OM HOLDINGS LIMITED,5298
OMESTI BERHAD,9008
ONE GLOVE GROUP BERHAD,5079
ONETECH SOLUTIONS HOLDINGS BERHAD,03041
ONLY WORLD GROUP HOLDINGS BERHAD,5260
OPCOM HOLDINGS BERHAD,0035
OPENSYS (M) BERHAD,0040
OPPSTAR BERHAD,0275
OPTIMAX HOLDINGS BERHAD,0222
ORGABIO HOLDINGS BERHAD,0252
ORIENTAL FOOD INDUSTRIES HOLDINGS BERHAD,7107
ORIENTAL HOLDINGS BERHAD,4006
ORIENTAL INTEREST BERHAD,5827
ORNAPAPER BERHAD,5065
OSK HOLDINGS BERHAD,5053
OSK VENTURES INTERNATIONAL BERHAD,0053
OVERSEA ENTERPRISE BERHAD,0153
P.A. RESOURCES BERHAD,7225
P.I.E. INDUSTRIAL BERHAD,7095
PACIFIC & ORIENT BERHAD,6009
PADINI HOLDINGS BERHAD,7052
PAN MALAYSIA CORPORATION BERHAD,4081
PAN MALAYSIA HOLDINGS BERHAD,1287
PANASONIC MANUFACTURING MALAYSIA BERHAD,3719
